Feature 1,Feature 2,Correlation
quality_rating_2,deficiency_tag_684,0.04
deficiency_tag_842,ownership_non_profit_other,-0.04
severity_code_H,deficiency_tag_812,0.04
council_resident,sprinklers_in_required_areas_partial,-0.04
most_recent_health_inspection_2plus_years_ago,deficiency_tag_655,0.04
ownership_government_county,deficiency_tag_657,-0.04
months_since_approval,mds_quality_code_479,0.04
deficiency_tag_585,ownership_non_profit_corporation,-0.04
mds_quality_code_480,deficiency_tag_759,-0.04
Rating Cycle 2 Total Health Score,mds_quality_code_479,0.04
deficiency_tag_921,short_stay_quality_rating_4,-0.04
mds_quality_code_479,severity_code_G,0.04
health_inspection_rating_2,Number of Citations from Infection Control Inspections,0.04
deficiency_tag_677,quality_rating_3,0.04
severity_code_H,long_stay_quality_rating_1,0.04
council_resident,ownership_non_profit_other,-0.04
provider_medicaid,deficiency_tag_698,-0.04
long_stay_quality_rating_5,deficiency_tag_758,-0.04
quality_rating_4,deficiency_tag_656,-0.04
deficiency_tag_732,mds_quality_code_401,0.04
mds_quality_code_419,deficiency_tag_657,0.04
quality_rating_4,deficiency_tag_607,-0.04
claims_quality_code_551,quality_rating_3,0.04
months_since_approval,health_inspection_rating_2,0.04
mds_quality_code_404,deficiency_tag_761,0.04
quality_rating_4,abuse_icon,-0.04
deficiency_tag_585,mds_quality_code_404,0.04
ownership_government_county,deficiency_tag_756,-0.04
provider_medicare,deficiency_tag_578,-0.04
council_resident,mds_quality_code_407,-0.04
claims_quality_code_521,deficiency_tag_814,0.04
deficiency_tag_757,deficiency_tag_814,0.04
Total Number of Penalties,short_stay_quality_rating_2,0.04
deficiency_tag_625,ownership_government_hospital_district,-0.04
Rating Cycle 1 Total Health Score,claims_quality_code_522,0.04
council_resident_and_family,health_inspection_rating_1,-0.04
deficiency_tag_761,short_stay_quality_rating_3,0.04
mds_quality_code_479,mds_quality_code_472,-0.04
mds_quality_code_452,ownership_for_profit_individual,0.04
ownership_non_profit_other,deficiency_tag_759,-0.04
provider_resides_in_hospital,deficiency_tag_695,-0.04
long_stay_quality_rating_4,quality_rating_3,0.04
Rating Cycle 2 Total Health Score,ownership_government_county,-0.04
short_stay_quality_rating_5,deficiency_tag_883,-0.04
deficiency_tag_561,deficiency_tag_604,0.04
long_stay_quality_rating_5,health_inspection_rating_1,-0.04
health_inspection_rating_2,deficiency_tag_725,0.04
severity_code_H,health_inspection_rating_5,-0.04
quality_rating_2,mds_quality_code_452,0.04
deficiency_tag_803,mds_quality_code_410,-0.04
health_inspection_rating_4,long_stay_quality_rating_1,-0.04
Rating Cycle 2 Total Health Score,severity_code_I,0.04
severity_code_H,deficiency_tag_636,0.04
claims_quality_code_551,deficiency_tag_578,0.04
mds_quality_code_479,deficiency_tag_692,0.04
council_resident,provider_medicaid,-0.04
ownership_non_profit_church,Rating Cycle 3 Number of Health Revisits,-0.04
council_resident_and_family,deficiency_tag_803,-0.04
deficiency_tag_755,short_stay_quality_rating_2,0.04
ownership_government_state,dollars_per_fine_count,0.04
Rating Cycle 2 Total Health Score,mds_quality_code_480,-0.04
deficiency_tag_657,provider_changed_ownership_last_12_months,0.04
deficiency_tag_625,short_stay_quality_rating_1,0.04
months_since_approval,severity_code_J,-0.04
most_recent_health_inspection_2plus_years_ago,deficiency_tag_690,-0.04
deficiency_tag_583,special_focus_status_sff,0.04
ownership_for_profit_corporation,deficiency_tag_727,0.04
provider_changed_ownership_last_12_months,Rating Cycle 1 Number of Standard Health Deficiencies,0.04
deficiency_tag_583,mds_quality_code_415,-0.04
mds_quality_code_410,deficiency_tag_698,-0.04
dollars_per_fine_count,provider_medicaid,-0.04
deficiency_tag_657,quality_rating_3,0.04
deficiency_tag_558,provider_medicaid,-0.04
deficiency_tag_582,special_focus_status_sff,0.04
ownership_government_state,severity_code_F,-0.04
Rating Cycle 1 Number of Health Revisits,deficiency_tag_814,0.04
mds_quality_code_430,special_focus_status_sff,-0.04
quality_rating_1,deficiency_tag_636,0.04
ownership_government_city,Rating Cycle 1 Total Number of Health Deficiencies,-0.04
severity_code_H,deficiency_tag_604,0.04
provider_medicare_and_medicaid,long_stay_quality_rating_1,0.04
long_stay_quality_rating_5,deficiency_tag_686,-0.04
mds_quality_code_434,Number of Fines,0.04
short_stay_quality_rating_5,special_focus_status_sff,-0.04
mds_quality_code_401,Rating Cycle 1 Number of Standard Health Deficiencies,-0.04
quality_rating_3,Rating Cycle 1 Number of Complaint Health Deficiencies,0.04
quality_rating_1,Rating Cycle 2 Number of Complaint Health Deficiencies,0.04
claims_quality_code_551,deficiency_tag_686,0.04
deficiency_tag_655,mds_quality_code_407,-0.04
deficiency_tag_727,deficiency_tag_561,0.04
deficiency_tag_757,deficiency_tag_604,0.04
provider_medicare,deficiency_tag_867,-0.04
short_stay_quality_rating_5,deficiency_tag_881,-0.04
short_stay_quality_rating_3,special_focus_status_sff,-0.04
most_recent_health_inspection_2plus_years_ago,deficiency_tag_727,-0.04
council_resident_and_family,deficiency_tag_585,-0.04
deficiency_tag_686,ownership_government_hospital_district,-0.04
Number of Fines,deficiency_tag_700,0.04
Rating Cycle 3 Health Deficiency Score,mds_quality_code_480,-0.04
mds_quality_code_452,ownership_government_hospital_district,0.04
provider_changed_ownership_last_12_months,mds_quality_code_451,0.04
long_stay_quality_rating_1,deficiency_tag_758,0.04
deficiency_tag_880,mds_quality_code_452,0.04
mds_quality_code_406,long_stay_quality_rating_4,-0.04
deficiency_tag_677,short_stay_quality_rating_4,-0.04
deficiency_tag_550,mds_quality_code_406,-0.04
health_inspection_rating_2,deficiency_tag_806,0.04
deficiency_tag_609,short_stay_quality_rating_2,0.04
mds_quality_code_404,deficiency_tag_623,0.04
deficiency_tag_585,deficiency_tag_727,0.04
health_inspection_rating_3,deficiency_tag_657,-0.04
long_stay_quality_rating_5,deficiency_tag_658,-0.04
ownership_government_state,short_stay_quality_rating_1,-0.04
mds_quality_code_480,deficiency_tag_812,0.04
council_resident,deficiency_tag_688,0.04
mds_quality_code_419,deficiency_tag_636,0.04
quality_rating_1,mds_quality_code_480,0.04
Total Number of Penalties,provider_changed_ownership_last_12_months,0.04
mds_quality_code_480,Rating Cycle 1 Number of Standard Health Deficiencies,-0.04
mds_quality_code_404,deficiency_tag_610,0.04
mds_quality_code_479,deficiency_tag_814,0.04
Rating Cycle 2 Total Health Score,ownership_for_profit_corporation,0.04
Rating Cycle 2 Number of Standard Health Deficiencies,ownership_government_county,-0.04
provider_medicaid,Rating Cycle 1 Number of Standard Health Deficiencies,-0.04
deficiency_tag_580,provider_medicaid,-0.04
provider_changed_ownership_last_12_months,Number of administrators who have left the nursing home,0.04
claims_quality_code_551,deficiency_tag_812,0.04
Rating Cycle 2 Number of Health Revisits,mds_quality_code_410,-0.04
severity_code_I,severity_code_E,0.04
mds_quality_code_479,mds_quality_code_409,0.04
mds_quality_code_419,special_focus_status_sff,0.04
deficiency_tag_561,mds_quality_code_408,0.04
severity_code_H,deficiency_tag_644,0.04
deficiency_tag_761,short_stay_quality_rating_2,0.04
deficiency_tag_695,mds_quality_code_434,0.04
claims_quality_code_521,deficiency_tag_604,0.04
deficiency_tag_842,long_stay_quality_rating_1,-0.04
mds_quality_code_454,deficiency_tag_583,-0.04
quality_rating_2,Rating Cycle 1 Number of Complaint Health Deficiencies,0.04
deficiency_tag_726,most_recent_health_inspection_2plus_years_ago,-0.04
severity_code_B,provider_changed_ownership_last_12_months,0.04
ownership_government_county,Total Amount of Fines in Dollars,-0.04
claims_quality_code_552,deficiency_tag_698,0.04
Rating Cycle 3 Health Deficiency Score,quality_rating_2,0.04
deficiency_tag_732,mds_quality_code_410,-0.04
short_stay_quality_rating_5,deficiency_tag_645,-0.04
deficiency_tag_583,quality_rating_5,-0.04
ownership_government_county,Rating Cycle 3 Total Health Score,-0.04
deficiency_tag_625,mds_quality_code_401,0.04
Rating Cycle 2 Health Revisit Score,short_stay_quality_rating_4,-0.04
ownership_for_profit_corporation,deficiency_tag_558,0.04
deficiency_tag_644,mds_quality_code_408,0.04
health_inspection_rating_3,deficiency_tag_645,-0.04
deficiency_tag_803,ownership_government_county,-0.04
severity_code_H,deficiency_tag_583,0.04
ownership_non_profit_church,mds_quality_code_430,0.04
quality_rating_4,Rating Cycle 1 Total Health Score,-0.04
council_resident,deficiency_tag_582,0.04
ownership_government_state,abuse_icon,0.04
quality_rating_4,Rating Cycle 1 Health Deficiency Score,-0.04
most_recent_health_inspection_2plus_years_ago,deficiency_tag_867,-0.04
deficiency_tag_697,claims_quality_code_521,0.04
provider_medicare_and_medicaid,severity_code_B,0.04
ownership_non_profit_church,deficiency_tag_755,-0.04
mds_quality_code_404,deficiency_tag_657,0.04
ownership_government_state,Rating Cycle 1 Total Health Score,-0.04
mds_quality_code_454,short_stay_quality_rating_4,0.04
deficiency_tag_732,claims_quality_code_522,0.04
mds_quality_code_434,long_stay_quality_rating_4,-0.04
Rating Cycle 3 Health Deficiency Score,quality_rating_1,0.04
quality_rating_5,deficiency_tag_693,-0.04
deficiency_tag_695,provider_changed_ownership_last_12_months,0.04
severity_code_H,deficiency_tag_679,0.04
deficiency_tag_625,special_focus_status_sff,0.04
deficiency_tag_803,quality_rating_5,-0.04
severity_code_I,Rating Cycle 1 Total Number of Health Deficiencies,0.04
deficiency_tag_609,ownership_non_profit_other,-0.04
deficiency_tag_658,ownership_non_profit_other,-0.04
short_stay_quality_rating_5,ownership_government_hospital_district,-0.04
health_inspection_rating_3,severity_code_C,-0.04
severity_code_K,deficiency_tag_756,0.04
provider_medicaid,Rating Cycle 3 Number of Standard Health Deficiencies,-0.04
severity_code_J,provider_medicaid,-0.04
short_stay_quality_rating_1,deficiency_tag_814,0.04
severity_code_B,mds_quality_code_406,0.04
months_since_approval,deficiency_tag_727,-0.04
deficiency_tag_755,ownership_non_profit_other,-0.04
provider_changed_ownership_last_12_months,deficiency_tag_607,0.04
ownership_for_profit_corporation,deficiency_tag_607,0.04
council_resident,deficiency_tag_812,0.04
quality_rating_5,deficiency_tag_881,-0.04
Rating Cycle 3 Number of Complaint Health Deficiencies,quality_rating_2,0.04
deficiency_tag_607,ownership_for_profit_individual,0.04
provider_resides_in_hospital,months_since_approval,0.04
deficiency_tag_561,Number of Citations from Infection Control Inspections,0.04
abuse_icon,deficiency_tag_554,0.04
continuing_care_retirement_community,deficiency_tag_908,-0.04
deficiency_tag_585,health_inspection_rating_2,0.04
Rating Cycle 2 Health Revisit Score,deficiency_tag_921,0.04
quality_rating_4,deficiency_tag_725,-0.04
most_recent_health_inspection_2plus_years_ago,health_inspection_rating_1,-0.04
deficiency_tag_625,mds_quality_code_451,0.04
ownership_non_profit_church,deficiency_tag_550,-0.04
quality_rating_3,Rating Cycle 2 Health Deficiency Score,0.04
mds_quality_code_479,severity_code_E,0.04
ownership_government_hospital_district,health_inspection_rating_1,-0.04
health_inspection_rating_2,deficiency_tag_554,0.04
severity_code_L,deficiency_tag_756,0.04
provider_resides_in_hospital,special_focus_status_sff_candidate,-0.04
quality_rating_4,Rating Cycle 1 Number of Complaint Health Deficiencies,-0.04
ownership_government_state,deficiency_tag_690,-0.04
ownership_for_profit_partnership,mds_quality_code_480,-0.04
short_stay_quality_rating_1,long_stay_quality_rating_2,0.04
council_resident,deficiency_tag_692,0.04
deficiency_tag_697,claims_quality_code_522,0.04
deficiency_tag_656,mds_quality_code_452,0.04
special_focus_status_sff_candidate,long_stay_quality_rating_1,0.04
mds_quality_code_452,deficiency_tag_676,-0.04
council_resident_and_family,deficiency_tag_690,-0.04
ownership_government_city,Number of administrators who have left the nursing home,-0.04
months_since_approval,health_inspection_rating_4,-0.04
deficiency_tag_625,long_stay_quality_rating_2,0.04
severity_code_H,deficiency_tag_727,0.04
severity_code_H,ownership_non_profit_corporation,-0.04
ownership_government_state,deficiency_tag_880,-0.04
deficiency_tag_803,ownership_non_profit_other,-0.04
ownership_non_profit_other,deficiency_tag_814,-0.04
most_recent_health_inspection_2plus_years_ago,abuse_icon,-0.04
mds_quality_code_410,Rating Cycle 3 Number of Health Revisits,-0.04
council_resident_and_family,deficiency_tag_727,-0.04
long_stay_quality_rating_5,deficiency_tag_657,-0.04
deficiency_tag_880,mds_quality_code_434,0.04
mds_quality_code_479,deficiency_tag_756,0.04
mds_quality_code_407,severity_code_G,-0.04
mds_quality_code_401,severity_code_D,-0.04
quality_rating_2,deficiency_tag_656,0.04
deficiency_tag_803,continuing_care_retirement_community,-0.04
mds_quality_code_434,deficiency_tag_692,0.04
quality_rating_2,special_focus_status_sff,-0.04
deficiency_tag_644,ownership_government_federal,0.04
most_recent_health_inspection_2plus_years_ago,deficiency_tag_686,-0.04
short_stay_quality_rating_5,mds_quality_code_404,-0.04
ownership_government_county,Number of administrators who have left the nursing home,-0.04
short_stay_quality_rating_5,deficiency_tag_641,-0.04
deficiency_tag_644,deficiency_tag_676,0.04
quality_rating_4,deficiency_tag_609,-0.04
long_stay_quality_rating_5,Rating Cycle 2 Health Deficiency Score,-0.04
months_since_approval,deficiency_tag_867,0.04
mds_quality_code_410,deficiency_tag_578,-0.04
severity_code_K,claims_quality_code_551,0.04
short_stay_quality_rating_2,deficiency_tag_700,0.04
deficiency_tag_883,ownership_non_profit_other,-0.04
Rating Cycle 3 Total Number of Health Deficiencies,mds_quality_code_452,-0.04
mds_quality_code_410,abuse_icon,-0.04
deficiency_tag_636,short_stay_quality_rating_2,0.04
ownership_non_profit_church,deficiency_tag_677,-0.04
Rating Cycle 1 Number of Health Revisits,Rating Cycle 3 Health Revisit Score,0.04
severity_code_L,quality_rating_5,-0.04
mds_quality_code_406,severity_code_D,-0.04
claims_quality_code_551,deficiency_tag_583,0.04
quality_rating_4,deficiency_tag_636,-0.04
ownership_government_county,severity_code_E,-0.04
health_inspection_rating_3,Rating Cycle 3 Number of Standard Health Deficiencies,-0.04
special_focus_status_sff,deficiency_tag_881,0.04
mds_quality_code_434,deficiency_tag_883,0.04
deficiency_tag_804,quality_rating_2,0.04
ownership_government_hospital_district,Rating Cycle 1 Number of Standard Health Deficiencies,-0.04
deficiency_tag_550,council_resident,0.04
health_inspection_rating_5,ownership_for_profit_individual,-0.04
mds_quality_code_454,most_recent_health_inspection_2plus_years_ago,-0.04
council_resident,mds_quality_code_415,-0.04
Rating Cycle 2 Number of Health Revisits,mds_quality_code_408,0.04
short_stay_quality_rating_5,severity_code_L,-0.04
provider_resides_in_hospital,deficiency_tag_842,-0.04
deficiency_tag_645,provider_medicaid,-0.04
provider_resides_in_hospital,severity_code_F,-0.04
mds_quality_code_406,deficiency_tag_881,0.04
deficiency_tag_732,mds_quality_code_408,0.04
provider_medicare_and_medicaid,severity_code_C,0.04
deficiency_tag_641,short_stay_quality_rating_2,0.04
most_recent_health_inspection_2plus_years_ago,deficiency_tag_604,-0.04
deficiency_tag_583,claims_quality_code_521,0.04
long_stay_quality_rating_5,ownership_government_hospital_district,0.04
Rating Cycle 3 Total Number of Health Deficiencies,quality_rating_4,-0.04
ownership_non_profit_other,ownership_for_profit_individual,-0.04
quality_rating_5,deficiency_tag_697,-0.04
